Subgrid_ID,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Species
N21W29 _907,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W29 _908,0,0,1,0,0,0,0,0,0,0,NA,NA,SP1
N21W30 _648,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W30 _695,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W30 _696,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N21W30 _697,0,0,0,0,0,0,0,0,0,0,NA,NA,SP1
N21W30 _698,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W30 _742,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W30 _743,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N21W30 _744,0,1,0,0,0,0,0,0,0,0,0,0,SP1
N21W30 _745,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N21W30 _788,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N21W30 _789,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N21W30 _842,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W30 _843,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,SP1
N21W30 _844,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W30 _901,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N21W30 _902,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W31 _736,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W31 _737,0,0,0,0,0,0,0,1,0,NA,NA,NA,SP1
N21W31 _738,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W31 _783,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W31 _784,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N21W31 _785,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W31 _839,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N21W31 _897,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N22W23 _997,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N22W23 _998,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W24 _1051,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W24 _991,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W24 _994,0,0,0,0,0,0,0,0,0,NA,NA,NA,SP1
N22W24 _995,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W25 _987,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W25 _990,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W26 _1039,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W26 _1040,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N22W26 _1096,0,0,0,0,0,0,0,0,0,NA,NA,NA,SP1
N22W26 _1097,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N22W26 _1098,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N22W26 _1155,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W26 _1156,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N22W26 _1214,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W26 _1215,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W26 _980,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N22W26 _982,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N22W27 _1033,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W27 _1034,0,0,0,0,0,0,0,0,0,NA,NA,NA,SP1
N22W27 _1035,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W27 _1091,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W27 _1092,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N22W27 _1093,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W27 _1094,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W27 _1095,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N22W27 _1149,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N22W27 _1151,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N22W27 _1152,0,0,0,0,0,0,0,0,0,NA,NA,NA,SP1
N22W27 _916,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N22W27 _918,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W27 _919,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N22W27 _975,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N22W27 _977,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N22W27 _979,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W28 _1027,0,0,0,0,0,0,0,0,1,0,0,NA,SP1
N22W28 _1084,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N22W28 _1085,1,0,1,1,0,0,1,0,NA,NA,NA,NA,SP1
N22W28 _1086,0,0,1,0,0,0,0,0,NA,NA,NA,NA,SP1
N22W28 _1087,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W28 _1142,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N22W28 _1143,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N22W28 _1145,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W28 _1200,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W28 _1201,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N22W28 _1202,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W28 _969,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W28 _970,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N22W28 _971,0,0,0,0,0,0,0,0,0,0,0,NA,SP1
N22W28 _972,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N22W29 _1023,0,0,0,0,1,0,0,0,0,NA,NA,NA,SP1
N22W29 _1024,0,0,0,0,0,0,0,0,0,0,NA,NA,SP1
N22W29 _1025,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N22W29 _1082,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W29 _1083,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N22W29 _1140,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W29 _1141,0,0,1,0,0,0,0,0,0,0,NA,NA,SP1
N22W29 _1195,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W29 _1196,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N22W29 _1197,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W29 _1198,0,1,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N22W29 _966,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W29 _967,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N22W30 _1015,0,0,1,1,0,0,0,1,NA,NA,NA,NA,SP1
N22W30 _1073,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,SP1
N22W30 _1075,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W30 _1076,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W30 _1131,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N22W30 _1132,0,1,0,0,0,0,0,0,0,0,NA,NA,SP1
N22W30 _1133,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,SP1
N22W30 _1134,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W30 _1189,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W30 _1193,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W30 _1194,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W30 _957,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N22W31 _1009,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W31 _1012,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,SP1
N22W31 _1013,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W31 _1014,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N22W31 _1067,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W31 _1070,0,0,0,1,0,0,0,0,0,0,NA,NA,SP1
N22W31 _1072,0,0,0,0,0,0,0,0,0,0,0,0,SP1
N22W31 _1125,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W31 _1128,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N22W31 _1130,0,0,0,0,0,0,0,0,0,0,0,NA,SP1
N22W31 _1184,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,SP1
N22W31 _1186,1,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,SP1
N22W31 _1187,1,0,1,0,0,0,1,0,0,0,0,0,SP1
N22W31 _1188,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W31 _954,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N22W31 _955,0,0,0,0,0,0,0,0,NA,NA,NA,NA,SP1
N22W31 _956,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,SP1
N22W32 _1007,0,0,0,0,0,0,0,0,0,NA,NA,NA,SP1
N22W32 _1008,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N22W32 _1065,0,0,0,0,0,0,0,1,0,NA,NA,NA,SP1
N22W32 _1066,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W32 _1122,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,SP1
N22W32 _1123,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W32 _949,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N22W32 _950,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N23W26 _1271,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N23W26 _1272,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N23W26 _1273,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,SP1
N23W26 _1274,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N23W26 _1314,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N23W26 _1353,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SP1
N23W26 _1354,0,0,0,0,0,0,0,0,0,0,NA,NA,SP1
