"","Site_ID","SP1","SP1_SD","SP1_q2.5","SP1_q97.5","SP2","SP2_SD","SP2_q2.5","SP2_q97.5","SP3","SP3_SD","SP3_q2.5","SP3_q97.5"
"398","N20W28 _508","0.910622511857023","0.10043891598603","0.662253138788821","0.999999715069764","0.3506768228329","0.152738632273502","0.0965512992760654","0.658313343818133","0.0230033470155386","0.039635769541074","0.00023601207984606","0.140821240994657"
"399","N20W28 _509","0.912404968900267","0.101640983946164","0.65077554627635","0.999999505550641","0.336554278796901","0.157844647099266","0.0801137607573289","0.653967462117479","0.0259764954928239","0.0441455850317367","0.000313918542923764","0.159782474776515"
"400","N20W28 _510","0.888230977639242","0.118689674608003","0.599455691045613","0.999955571282443","0.399651111727327","0.159496322924425","0.118828464046525","0.707131418139475","0.0472185435378665","0.0599604637020851","0.00221104735406639","0.228758335406212"
"401","N20W28 _511","0.861246029750975","0.132235427285393","0.55918740508869","0.999424469620105","0.467008545720829","0.149992044062932","0.179467321045058","0.75107507699085","0.0720255056649563","0.0728577757691814","0.00710471096484959","0.288298375649989"
"402","N20W28 _541","0.959085812601718","0.0760930923191141","0.743184591240304","0.999999999999999","0.200433401203981","0.20153370552365","0.00875696604686156","0.761602157130726","0.0179808928474773","0.0600622425181826","1.16465875214811e-07","0.171832963186075"
"403","N20W28 _542","0.942620351761023","0.0871969166907606","0.700378552605993","0.999999999999878","0.214248217059576","0.180390708457927","0.0186835081918445","0.696105106236951","0.0179135875388458","0.0530228606052448","9.96551431446325e-07","0.147218926302945"
"404","N20W28 _543","0.935236286141265","0.0869942653735913","0.693920578950509","0.999999999953001","0.257695046374648","0.166718805443193","0.0413565231767449","0.660977062634641","0.0161917152893289","0.040324891576843","8.41214805310989e-06","0.123607803809116"
"405","N20W28 _544","0.878615013299738","0.129067110271816","0.566599165913955","0.999999991301273","0.280171743373274","0.141706293876941","0.0764721626014516","0.615118986473533","0.0236950093814723","0.0478714562885904","6.61288169008765e-05","0.176470685189773"
"406","N20W28 _545","0.908372407483381","0.102502061875141","0.654446734853169","0.99999973268915","0.34557441284445","0.151397681360275","0.0944621649255984","0.653850966674157","0.0235472006356445","0.040717712629239","0.000232439450905134","0.145012542583984"
"407","N20W28 _546","0.888341054114091","0.11508312988205","0.617573543421786","0.999991296004902","0.400360409388873","0.146939758586895","0.136631924561147","0.680457388281014","0.0334938539903996","0.0476400471891342","0.000917831342341525","0.173168817440057"
